Yield, Times
0,956   
1,939   
2,802   
3,567   
4,477   
5,378   
6,329   
7,272   
8,259   
9,180   
10,174   
11,177   
12,132   
13,124   
14,97   
15,94   
16,78   
17,66   
18,63   
19,64   
20,55   
21,44   
22,52   
23,37   
24,32   
25,32   
26,36   
27,33   
28,30   
29,19   
30,23   
31,29   
32,24   
33,19   
34,21   
35,16   
36,25   
37,22   
38,18   
39,8   
40,14   
41,21   
42,11   
43,15   
44,14   
45,10   
46,11   
47,9   
48,24   
49,19   
50,27   
51,15   
52,25   
53,30   
54,21   
55,29   
56,32   
57,23   
58,43   
59,59   
60,73   
61,102   
62,104   
63,138   
64,157   
65,165   
66,184   
67,227   
68,240   
69,210   
70,199   
71,227   
72,168   
73,175   
74,110   
75,107   
76,63   
77,46   
78,21   
79,9   
80,8   
81,7   
82,3   
83,0   
84,2   
85,0   
86,0   
87,0   
88,0   
89,0   
90,0   
91,0   
92,0   
93,0   
94,0   
95,0   
96,0   
97,0   
98,0   
99,0 
