Yield, Times
0,424
1,538
2,485
3,465
4,430
5,361
6,358
7,279
8,271
9,242
10,216
11,191
12,176
13,157
14,164
15,137
16,120
17,119
18,99
19,95
20,84
21,103
22,91
23,78
24,67
25,63
26,50
27,61
28,56
29,57
30,35
31,41
32,49
33,50
34,32
35,42
36,32
37,33
38,30
39,35
40,40
41,33
42,36
43,25
44,31
45,37
46,34
47,22
48,37
49,40
50,39
51,41
52,42
53,54
54,58
55,89
56,81
57,112
58,141
59,150
60,175
61,196
62,211
63,234
64,232
65,234
66,233
67,195
68,203
69,136
70,105
71,83
72,88
73,50
74,28
75,9
76,17
77,5
78,5
79,0
80,2
81,0
82,0
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
