Yield, Times
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,1
9,2
10,2
11,9
12,13
13,13
14,35
15,44
16,70
17,133
18,142
19,233
20,302
21,362
22,444
23,602
24,642
25,718
26,800
27,790
28,773
29,718
30,679
31,617
32,504
33,390
34,320
35,232
36,140
37,91
38,74
39,51
40,25
41,12
42,6
43,1
44,5
45,2
46,1
47,0
48,0
49,1
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
61,0
62,0
63,0
64,0
65,0
66,0
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,0
75,0
76,0
77,0
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
