Yield, Times
0,3  
1,7  
2,10  
3,29  
4,35  
5,31  
6,42  
7,51  
8,61  
9,69  
10,69  
11,83  
12,78  
13,95  
14,119  
15,116  
16,116  
17,115  
18,125  
19,136  
20,113  
21,126  
22,147  
23,124  
24,132  
25,130  
26,156  
27,156  
28,168  
29,173  
30,155  
31,176  
32,174  
33,176  
34,168  
35,169  
36,185  
37,190  
38,210  
39,195  
40,218  
41,261  
42,290  
43,331  
44,327  
45,351  
46,349  
47,367  
48,404  
49,372  
50,360  
51,331  
52,309  
53,285  
54,207  
55,174  
56,130  
57,107  
58,78  
59,44  
60,39  
61,18  
62,19  
63,5  
64,5  
65,4  
66,1  
67,0  
68,1  
69,0  
70,0  
71,0  
72,0  
73,0  
74,0  
75,0  
76,0  
77,0  
78,0  
79,0  
80,0  
81,0  
82,0  
83,0  
84,0  
85,0  
86,0  
87,0  
88,0  
89,0  
90,0  
91,0  
92,0  
93,0  
94,0  
95,0  
96,0  
97,0  
98,0  
99,0 
